Cristiano Ronaldo,184,115,Avançado,Manchester United
João Moutinho,142,7,Médio,Wolverhampton
Figo,127,32,Médio,Real Madrid
Pepe,123,7,Defesa,Porto
Nani,112,24,Avançado,Benfica
Fernando Couto,110,8,Defesa,Porto
Rui Patricio,102,0,Guarda-redes,Sporting
Bruno Alves,96,11,Defesa,Porto
Rui Costa,94,26,Médio,Benfica
Ricardo Carvalho,89,5,Defesa,Porto
Pauleta,88,47,Avançado,Paris Saint-Germain
Simão Sabrosa,85,22,Avançado,Benfica
João Pinto,81,23,Avançado,Benfica
Ricardo Quaresma,80,10,Avançado,Porto
Vitor Baía,80,0,Guarda-redes,Porto
Ricardo Pereira,79,0,Guarda-redes,Sporting
Nuno Gomes,79,29,Avançado,Benfica
Raul Meireles,76,10,Médio,Porto
Deco,75,5,Médio,Porto
Hélder Postiga,71,27,Avançado,Porto
João Pinto,70,1,Defesa,Porto
William Carvalho,69,4,Médio,Sporting
Tiago Mendes,66,3,Médio,Atlético Madrid
Néné,65,22,Avançado,Benfica
Eusébio,64,41,Avançado,Benfica
Bernardo Silva,64,8,Avançado,Manchester City
Bento,63,0,Guarda-redes,Benfica
Paulo Ferreira,62,0,Defesa,Chelsea
Humberto Coelho,62,0,Defesa,Benfica
Miguel,59,1,Defesa,Benfica
Hugo Almeida,57,19,Avançado,Werder Bremen
Coluna,57,8,Médio,Benfica
Petit,57,4,Médio,Benfica
Miguel Veloso,56,3,Defesa,Benfica
Sérgio Conceição,56,12,Avançado,Porto
Danilo,55,2,Médio,Paris Saint-Germain
Oceano,54,8,Médio,Sporting
Fernando Meira,54,2,Defesa,Vitória de Guimarães
Costinha,53,2,Médio,Porto
Raphael Guerreiro,53,3,Defesa,Borussia Dortmund
Maniche,52,7,Médio,Sporting
Fábio Coentrão,52,5,Avançado,Benfica
Paulo Sousa,51,0,Médio,Benfica
Jorge Andrade,51,3,Defesa,Deportivo Corunha
Jorge Costa,50,2,Defesa,Porto
João Mário,50,2,Médio,Benfica
André Silva,49,19,Avançado,Porto
José Fonte,49,1,Defesa,Southampton
Gomes,47,13,Avançado,Porto
António Simões,46,3,Avançado,Benfica
José Augusto,45,9,Avançado,Benfica
Sá Pinto,45,10,Avançado,Sporting
Rui Jorge,45,1,Defesa,Sporting
Vitor Paneira,44,4,Avançado,Benfica
Dimas,44,0,Defesa,Benfica
Jordão,43,15,Avançado,Sporting
Carlos Manuel,42,8,Médio,
Paulo Futre,41,6,Avançado,Atlético Madrid
Veloso,40,0,Defesa,Benfica
João Pereira,40,0,Defesa,Sporting
Bruno Fernandes,40,6,Médio,Manchester United
Hilário,39,0,Defesa,Sporting
Virgilio,39,0,Defesa,
Danny,38,4,Avançado,
Eurico,38,1,Defesa,
Ruben Dias,37,2,Defesa,Manchester City
José Carlos,36,0,Defesa,Sporting
Jaime Graça,36,4,Médio,Benfica
Eduardo,36,0,Guarda-redes,
Rui Barros,36,4,Avançado,
Helder,35,3,Defesa,
Secretário,35,1,Defesa,Porto
João Alves,35,3,Médio,
Travassos,35,6,Avançado,
Paulo Bento,35,0,Médio,
Éder,35,5,Avançado,Braga
Domingos,34,9,Avançado,Porto
Cédric,34,1,Defesa,Arsenal
Artur,34,1,Defesa,
Capucho,34,2,Avançado,
Nuno Valente,33,1,Defesa,
Torres,33,14,Avançado,Benfica
Cadete,33,5,Avançado,Sporting
Renato Sanches,32,3,Médio,Lille
Quim,32,0,Guarda-redes,Benfica
Toni,32,0,Médio,Benfica
Rui Águas,31,10,Avançado,Benfica
Beto,31,2,Defesa,
João Cancelo,31,5,Defesa,Manchester City
Paulinho Santos,30,2,Médio,
Manuel Fernandes,30,7,Avançado,Sporting
Hugo Viana,29,1,Médio,
Eliseu,29,1,Médio,
André Gomes,29,0,Médio,
Gonçalo Guedes,29,6,Avançado,Valencia
Hernâni,28,5,Avançado,
Boa Morte,28,1,Avançado,
Damas,28,0,Guarda-redes,Sporting
Chalana,27,2,Avançado,Benfica
Pietra,27,1,Defesa,Benfica
Sousa,27,1,Médio,
Bosingwa,27,0,Médio,Porto
Varela,27,5,Avançado,
Peres,27,4,Médio,
Matateu,27,13,Avançado,Belenenses
Manuel Vasques,26,7,Médio,
Adrien Silva,26,1,Médio,
Folha,26,5,Avançado,
Ruben Neves,26,0,Médio,Wolverhampton
Vieirinha,25,1,Avançado,
Caneira,25,0,Defesa,
Jaime Pacheco,25,0,Médio,
Inácio,25,0,Defesa,
Francisco Ferreira,25,0,Médio,
Rafa,25,0,Avançado,Benfica
José Águas,25,11,Avançado,Benfica
Germano,24,0,Médio,Benfica
Sheu,24,1,Médio,Benfica
Oliveira,24,7,Avançado,
Costa,24,1,Avançado,
Paulo Madeira,24,3,Defesa,
Nelson Semedo,24,0,Defesa,Wolverhampton
Silvino,23,0,Guarda-redes,
Frasco,23,1,Médio,
Diamantino,22,5,Avançado,Benfica
Pedro Barbosa,22,5,Médio,
Ricardo Costa,22,1,Defesa,
Costa Pereira,22,0,Guarda-redes,Benfica
Diogo Jota,22,8,Avançado,Liverpool
Rolando,21,0,Defesa,
Gelson Martins,21,0,Avançado,
Fernando Mendes,21,0,Defesa,
Augusto Silva,21,2,Defesa,
Pinga,21,9,Avançado,
Waldemar Mota,21,5,Médio,
Venâncio,21,0,Defesa,
Semedo,21,2,Médio,
Jaime Magalhães,20,0,Avançado,
Alvaro,20,0,Defesa,
André,20,1,Médio,
Lima Pereira,20,0,Defesa,
Gabriel,20,0,Defesa,
Vicente,20,0,Médio,Belenenses
Angelo,20,0,Defesa,
Peyroteo,20,14,Avançado,
João Félix,20,3,Avançado,Atlético Madrid
Abel Xavier,20,2,Defesa,
Azevedo,19,0,Guarda-redes,Sporting
Vitor Silva,19,7,Médio,
Festa,19,0,Defesa,Porto
Mariano Amaro,19,0,Médio,
Octávio,19,1,Médio,Vitória de Setúbal
Luis Neto,19,0,Defesa,
Nunes,18,2,Defesa,
Duda,18,1,Defesa,
Frederico,18,5,Defesa,
Carlos Gomes,18,0,Guarda-redes,
Serafim das Neves,18,0,Médio,
Carlos Alves,18,0,Médio,
Cavém,18,5,Avançado,
Pizzi,17,3,Médio,Benfica
Nélson Oliveira,17,2,Avançado,
César de Matos,17,0,Defesa,
Raul Figueiredo,17,0,Médio,
Jorge Vieira,17,0,Defesa,
Manuel Passos,17,0,Médio,
Pedroto,17,0,Defesa,
Dito,17,1,Defesa,
Frechaut,17,0,Defesa,
Carlos Martins,17,2,Médio,
Beto,16,0,Guarda-redes,
Ruben Micael,16,2,Médio,
Artur Jorge,16,1,Avançado,
Roquete,16,0,Guarda-redes,
Fernando Caiado,16,0,Avançado,
Félix Antunes,15,0,Defesa,
Angelo Carvalho,15,0,Defesa,
Mourão,15,2,Defesa,
Albano,15,3,Avançado,
Américo,15,0,Guarda-redes,
Manuel Fernandes,15,3,Médio,
Rogério,15,2,Avançado,
Adolfo,15,1,Defesa,
Leal,15,1,Defesa,
Vidigal,15,0,Médio,
José Henrique,15,0,Guarda-redes,
Liedson,15,4,Avançado,
César Brito,14,2,Avançado,
Dinis,14,4,Avançado,
Carlos Alhinho,14,0,Defesa,
Anthony Lopes,14,0,Guarda-redes,Lyon
Ruben Amorim,14,0,Médio,Benfica
Pepe,14,7,Avançado,Belenenses
Feliciano,14,0,Defesa,Belenenses
Jesus Correia,13,3,Avançado,Sporting
Alvaro Cardoso,13,0,Defesa,Sporting
Sérgio Oliveira,13,0,Médio,Roma
Carlos Pereira,13,1,Defesa,
Antunes,13,1,Defesa,
Paulo Alves,13,7,Avançado,
Simões,13,0,Defesa,
Custódio Pinto,13,1,Médio,
Laranjeira,13,0,Defesa,
João Palhinha,12,2,Médio,Sporting
Emílio Peixe,12,0,Médio,
Adelino Teixeira,12,0,Médio,
Rui Rodrigues,12,3,Médio,
Pedro Mendes,12,0,Médio,
Manuel Soeiro,12,5,Médio,
Emidio Graça,12,0,Médio,
Barrigana,12,0,Guarda-redes,
Armando Martins,12,3,Médio,
António Pinho,12,0,Defesa,
Martins,11,0,Médio,
Mário Rui,11,0,Defesa,
José Manuel Martins,11,4,Avançado,
José Pereira,11,0,Guarda-redes,
Alexandre Batista,11,0,Defesa,
Raul Machado,11,0,Defesa,
Nelo,11,0,Defesa,
Fernando Mendes,11,0,Defesa,
Adão,11,0,Médio,
Romeu,11,0,Avançado,
Nuno Mendes,11,0,Defesa,Sporting
Vitor Batista,11,2,Avançado,
Cruz,11,0,Defesa,
António Bastos Lopes,10,0,Defesa,
Jacinto João,10,2,Médio,
João Morais,10,0,Defesa,
Carlos Xavier,10,0,Defesa,
Nelson,10,0,Defesa,
Iauca,10,4,Avançado,
Custódio,10,0,Médio,
Carlos Canário,10,0,Defesa,
João Cruz,10,3,Defesa,
João dos Santos,10,4,Avançado,
José Simões,10,0,Defesa,
Gustavo Teixeira,10,0,Defesa,
Francisco Albino,10,0,Defesa,
Araújo,9,5,Defesa,
Miguel Arcanjo,9,0,Defesa,
Jorge Ribeiro,9,0,Defesa,
Dani,9,0,Médio,
Pedro Gomes,9,0,Defesa,
Mário Jorge,9,0,Médio,
Matine,9,0,Médio,
Jaime,9,0,Avançado,
Oliveira,9,1,Defesa,
Freitas,9,0,Defesa,
Bruma,9,1,Avançado,
Alberto,9,2,Defesa,
Neno,9,0,Guarda-redes,
Rebelo,8,0,Defesa,
Coelho,8,2,Avançado,
Tavares,8,0,Médio,
Sobrinho,8,0,Defesa,
Eduardo Luis,8,0,Defesa,
João Cardoso,8,0,Defesa,
Rolando,8,0,Defesa,
José Mendes,8,0,Defesa,
Silvio,8,0,Defesa,
Acurcio,8,0,Guarda-redes,Porto
Avelino Martins,8,0,Defesa,
Espirito Santo,8,1,Defesa,
André Almeida,8,0,Médio,
Ricardo Pereira,7,0,Avançado,Leicester City
Fernando Cabrita,7,1,Avançado,
Augusto Rocha,7,0,Avançado,
Carlos Duarte,7,1,Avançado,
Gaspar Pinto,7,0,Avançado,
Cardoso Pereira,7,0,Defesa,
Francisco Moreira,7,1,Defesa,
Teixeira,7,1,Avançado,
Octávio Barrosa,7,0,Defesa,
Moinhos,7,1,Avançado,
Jesus,7,0,Guarda-redes,
Nogueira,7,2,Defesa,
Trincão,7,0,Avançado,Wolverhampton
Barros,7,0,Médio,
Pedro Espinha,6,0,Guarda-redes,
Reinaldo,6,1,Avançado,
Rui Filipe,6,0,Médio,
Morato,6,0,Médio,
Pacheco,6,0,Médio,
Messias,6,0,Defesa,
Palhares,6,0,Avançado,
Rodolfo,6,0,Médio,
Eliseu,6,0,Defesa,
Luis Loureiro,6,0,Médio,
Jorge Couto,6,0,Avançado,
Paulo Machado,6,0,Médio,
Edinho,6,3,Avançado,
Ricardo Rocha,6,0,Defesa,
Litos,6,0,Defesa,
Rui Bento,6,0,Defesa,
Rafael Correia,6,0,Médio,
Serafim Batista,6,0,Médio,
Martinho Oliveira,6,0,Avançado,
Ernesto Oliveira,6,0,Guarda-redes,
Mário Lino,6,0,Médio,
Juca,6,0,Defesa,
Carvalho,6,0,Guarda-redes,
Valadas,6,2,Avançado,
Pavão,6,0,Médio,
Ben David,6,4,Avançado,
Figueiredo,6,0,Avançado,
Armando Ferreira,5,0,Médio,
Artur Quaresma,5,0,Defesa,
Liberto dos Santos,5,0,Médio,
Lúcio,5,0,Defesa,
Mário Torres,5,0,Médio,
Manuel Capela,5,0,Guarda-redes,
Serafim,5,0,Avançado,
Raul Jorge,5,0,Médio,
Santana,5,1,Médio,
Samuel,5,0,Médio,
Rogério Matias,5,0,Defesa,
Jacinto,5,2,Defesa,
Conceição,5,0,Universal,
Márinho,5,1,Avançado,
Fraguito,5,1,Médio,
Norton de Matos,5,1,Avançado,
Miguel,5,0,Defesa,
Malta da Silva,5,0,Defesa,
Alfredo Murça,5,0,Defesa,
Nascimento,5,0,Médio,
José Luis,4,1,Avançado,
Nélson,4,0,Defesa,
Séninho,4,1,Universal,
Abel,4,0,Avançado,
Fonseca,4,0,Defesa,
Festas,4,0,Médio,
Costeado,4,0,Defesa,
Quim,4,0,Médio,
Gregório Freixo,4,0,Defesa,
Miguel Lopes,4,0,Médio,
Chico Faria,4,1,Avançado,
Francisco Mário,4,0,Médio,
Jorge Ferreira,4,0,Médio,
Taí,4,0,Médio,
João Tomás,4,1,Avançado,
Calado,4,0,Médio,
Pedro Xavier,4,0,Médio,
José Luis I,4,0,Avançado,
Rui Araújo,4,0,Médio,
Salvador,4,0,Avançado,
Soares dos Reis,4,0,Guarda-redes,
Manuel António,4,0,Universal,
José Carlos Delfim,4,0,Avançado,
José Maria,4,0,Avançado,
Artur Camolas,4,0,Guarda-redes,
Artur Dyson,4,0,Guarda-redes,
David Julio,4,0,Médio,
Ramos,4,0,Avançado,
Alberto Augusto,4,1,Avançado,
Monteiro da Costa,4,0,Avançado,
Castela,4,0,Defesa,
Anibal,4,0,Defesa,
Makukula,4,1,Avançado,
Nóbrega,4,0,Universal,
João Maia,4,1,Médio,
