Racer,Year,Class,Bike,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,Pos,Pts
Miguel Oliveira,2011,125cc,Aprilia,QAT,SPA,POR,FRA,CAT,GBR,NED,ITA,GER,CZE,IND,RSM,ARA,JPN,AUS,MAL,VAL,,,,,14th,44
,,,,10,Ret,7,9,Ret,,,8,Ret,23,8,10,Ret,,,,,,,,,,
Miguel Oliveira,2012,Moto3,Suter Honda,QAT,SPA,POR,FRA,CAT,GBR,NED,GER,ITA,IND,CZE,RSM,ARA,JPN,MAL,AUS,VAL,,,,,8th,114
,,,,5,Ret,Ret,Ret,3,10,10,19,Ret,4,9,9,8,7,5,2,Ret,,,,,,
Miguel Oliveira,2013,Moto3,Mahindra,QAT,AME,SPA,FRA,ITA,CAT,NED,GER,IND,CZE,GBR,RSM,ARA,MAL,AUS,JPN,VAL,,,,,6th,150
,,,,7,5,16,Ret,4,6,4,4,8,9,5,7,5,3,26,4,10,,,,,,
Miguel Oliveira,2014,Moto3,Mahindra,QAT,AME,ARG,SPA,FRA,ITA,CAT,NED,GER,IND,CZE,GBR,RSM,ARA,JPN,AUS,MAL,VAL,,,,10th,110
,,,,4,15,DNS,14,12,4,12,3,Ret,7,7,4,22,7,Ret,7,Ret,8,,,,,
Miguel Oliveira,2015,Moto3,KTM,QAT,AME,ARG,SPA,FRA,ITA,CAT,NED,GER,IND,CZE,GBR,RSM,ARA,JPN,AUS,MAL,VAL,,,,2nd,254
,,,,16,Ret,4,2,8,1,5,1,DNS,15,8,13,2,1,2,1,1,1,,,,,
Miguel Oliveira,2016,Moto2,Kalex,QAT,ARG,AME,SPA,FRA,ITA,CAT,NED,GER,AUT,CZE,GBR,RSM,ARA,JPN,AUS,MAL,VAL,,,,21st,36
,,,,11,21,Ret,Ret,9,13,8,15,Ret,14,9,Ret,17,DNS,DNS,,,13,,,,,
Miguel Oliveira,2017,Moto2,KTM,QAT,ARG,AME,SPA,FRA,ITA,CAT,NED,GER,CZE,AUT,GBR,RSM,ARA,JPN,AUS,MAL,VAL,,,,3rd,241
,,,,4,2,6,3,17,5,3,5,2,3,Ret,8,Ret,3,7,1,1,1,,,,,
Miguel Oliveira,2018,Moto2,KTM,QAT,ARG,AME,SPA,FRA,ITA,CAT,NED,GER,CZE,AUT,GBR,RSM,ARA,THA,JPN,AUS,MAL,VAL,,,2nd,297
,,,,5,3,3,2,6,1,2,6,4,1,2,C,2,7,3,3,11,2,1,,,,
Miguel Oliveira,2019,MotoGP,KTM,QAT,ARG,AME,SPA,FRA,ITA,CAT,NED,GER,CZE,AUT,GBR,RSM,ARA,THA,JPN,AUS,MAL,VAL,,,17th,33
,,,,17,11,14,18,15,16,12,13,18,13,8,Ret,16,13,16,12,DNS,DNS,,,,,
Miguel Oliveira,2020,MotoGP,KTM,SPA,ANC,CZE,AUT,STY,RSM,EMI,CAT,FRA,ARA,TER,EUR,VAL,POR,,,,,,,,9th,125
,,,,8,Ret,6,Ret,1,11,5,Ret,6,16,6,5,6,1,,,,,,,,,
Miguel Oliveira,2021,MotoGP,KTM,QAT,DOH,POR,SPA,FRA,ITA,CAT,GER,NED,STY,AUT,GBR,ARA,RSM,AME,EMI,ALR,VAL,,,,14th,94
,,,,13,15,16,11,Ret,2,1,2,5,Ret,Ret,16,14,20,11,Ret,Ret,14,,,,,
Miguel Oliveira,2022,MotoGP,KTM,QAT,INA,ARG,AME,POR,SPA,FRA,ITA,CAT,GER,NED,FIN,GBR,AUT,RSM,ARA,JPN,THA,AUS,MAL,VAL,4th,25
,,,,Ret,1,,,,,,,,,,,,,,,,,,,,,
